num_vacantes,especialidad,jornada,colegio,file,fecha
1,"LICENCIADO/A,GRADUADO/A EDUCACIÓN FÍSICA",PARCIAL,TACORONTE,070722_vacantes_cc_1.pdf,7 de julio de 2022
1,MAESTRO/A LCDO./A.  EDUCACIÓN FÍSICA/INGLÉS C1,COMPLETA,HISPANO-INGLÉS,070722_vacantes_cc_2.pdf,7 de julio de 2022
1,MAESTRO/A INFANTIL/INGLÉS C1,COMPLETA,HISPANO-INGLÉS,070722_vacantes_cc_2.pdf,7 de julio de 2022
1,MAESTRO/A PRIMARIA/INGLÉS C1,COMPLETA,HISPANO-INGLÉS,070722_vacantes_cc_2.pdf,7 de julio de 2022
1,LICENCIADO/A FRANCÉS Y C1 FRANCÉS,COMPLETA,HISPANO-INGLÉS,070722_vacantes_cc_2.pdf,7 de julio de 2022
1,"LCDO/A O Go HISTORIA, GEOGRAFIA,Ha ARTE,HUMANIDADES, AN",COMPLETA,CAEPA RADIO ECCA,071021_vacantes_cc_1.pdf,7 de octubre de 2021
1,MAESTRO/A ED. INFANTIL,COMPLETA,CHAMBERÍ,071021_vacantes_cc_2.pdf,7 de octubre de 2021
1,EDUCACIÓN SECUNDARIA ESPEC.- MATEMÁTICAS-TECNOLOGÍA,PARCIAL,COLEGIO SAUCILLO,071021_vacantes_cc_3.pdf,7 de octubre de 2021
1,GRADO ESTUDIOS INGLESES,PARCIAL,ACAYMO-LA CANDELARIA,071221_vacantes_cc_1.pdf,3 de diciembre de 2021
1,FRANCÉS,PARCIAL,JUAN RAMÓN JIMÉNEZ,080322_vacantes_cc_1.pdf,8 de marzo de 2022
1,MAESTRO/A EDUCACIÓN ESPECIAL O MAESTRO/A AUDICIÓN Y L,COMPLETA,TIPCI,080722_vacantes_cc_1.pdf,8 de julio de 2022
1,PROFESOR/A MÚSICA EDUCACIÓN SECUNDARIA-MÁSTER PROFE,PARCIAL,LA SALLE - ARUCAS,080722_vacantes_cc_2.pdf,8 de julio de 2022
1,PROFESOR/A EDUCACIÓN PRIMARIA,PARCIAL,LA SALLE - ARUCAS,080722_vacantes_cc_2.pdf,8 de julio de 2022
1,LCDO/A EN CC SALUD-MÁSTER PROFESORADO: FÍSICA/QUÍMICA,PARCIAL,JESUS SACRAMENTADO - GÁLDAR,080722_vacantes_cc_3.pdf,8 de julio de 2022
1,GRADO MAESTRO/EDUCACIÓN INFANTIL,COMPLETA,COLEGIO CHAMBERÍ,080722_vacantes_cc_4.pdf,8 de julio de 2022
1,GRADO EN LENGUA Y LITERATURA ESPAÑOLA,PARCIAL,COLEGIO CHAMBERÍ,080722_vacantes_cc_4.pdf,8 de julio de 2022
1,PEDAGOGÍA TERAPEUTICA PRIMARIA EDUCACIÓN ESPECIAL,COMPLETA,SAN IGNACIO DE LOYOLA,081021_vacantes_cc_1.pdf,8 de octubre de 2021
1,MAESTRO/A PRIMARIA EDUCACIÓN FÍSICA-INGLÉS B2,PARCIAL,RAMIRO DE MAEZTU,081021_vacantes_cc_2.pdf,8 de octubre de 2021
1,FILOLOGÍA INGLESA O TRADUCTORES E INTÉRPRETES - MÁSTER P,COMPLETA,SAN IGNACIO DE LOYOLA,081021_vacantes_cc_3.pdf,8 de octubre de 2021
1,"LICENCIADO/A LENGUA INGLESA, CON MÁSTER EN FORMACIÓN",PARCIAL,PUREZA DE MARIA,081121_vacantes_cc_1.pdf,8 de noviembre de 2021
1,EDUCACIÓN PRIMARIA,COMPLETA,CPEIPS JUAN RAMÓN JIMENEZ,081121_vacantes_cc_2.pdf,8 de noviembre de 2021
1,PROFESOR/A ESO - GRADO O LICENCIATURA EN MÚSICA - MÁSTE,PARCIAL,NUESTRA SEÑORA DE LAS NIEVES,090322_vacantes_cc_1.pdf,9 de marzo de 2022
1,GRADO EDUCACIÓN INFANTIL-B2 INGLÉS-DECA,COMPLETA,CPEIPS MARÍA AUXILIADORA - TELDE,090622_vacantes_cc_1.pdf,9 de junio de 2022
2,GRADO EDUCACIÓN INFANTIL-B2 INGLÉS-DECA,PARCIAL,CPEIPS MARÍA AUXILIADORA - TELDE,090622_vacantes_cc_1.pdf,9 de junio de 2022
1,GRADO EDUCAC.PRIMARIA (LENGUA INGLESA)-B2 INGLÉS-DECA,COMPLETA,CPEIPS MARÍA AUXILIADORA - TELDE,090622_vacantes_cc_1.pdf,9 de junio de 2022
6,GRADO EDUCACIÓN PRIMARIA-B2 INGLÉS-DECA,PARCIAL,CPEIPS MARÍA AUXILIADORA - TELDE,090622_vacantes_cc_1.pdf,9 de junio de 2022
1,GRADO EDUC.PRIMARIA (LENGUA FRANCÉS)-B2 FRANCÉS-DECA,PARCIAL,CPEIPS MARÍA AUXILIADORA - TELDE,090622_vacantes_cc_1.pdf,9 de junio de 2022
2,GRADO TRADUCCIÓN E INTERPRETACIÓN:INGLÉS; GRADO EN,PARCIAL,CPEIPS MARÍA AUXILIADORA - TELDE,090622_vacantes_cc_1.pdf,9 de junio de 2022
2,GRADO INGENIERÍA O ARQUITECTURA-MÁSTER PROFESORADO,PARCIAL,CPEIPS MARÍA AUXILIADORA - TELDE,090622_vacantes_cc_1.pdf,9 de junio de 2022
2,GRADO EN PEDAGOGÍA-PSICOLOGÍA-LICENCIATURA PSICOPE-,PARCIAL,CPEIPS MARÍA AUXILIADORA - TELDE,090622_vacantes_cc_1.pdf,9 de junio de 2022
1,LICENCIADO/A-GRADUADO/A FRANCÉS,PARCIAL,NªSRA. DEL BUEN CONSEJO DE ICOD,090921_vacantes_cc_1.pdf,9 de septiembre de 2021
1,LICENCIADO/O FÍSICA/DECA/INGLÉS B2,COMPLETA,SAN JUAN BOSCO,090921_vacantes_cc_2.pdf,9 de septiembre de 2021
1,MAESTRO/A PRIMARIA ATENCIÓN A LA DIVERSIDAD (pt),COMPLETA,"NAZARET",090921_vacantes_cc_3.pdf,9 de septiembre de 2021
1,GRADO ED.PRIMARIA MENCIÓN ATENCIÓN A LA DIVERSIDAD,COMPLETA,CREVO,090921_vacantes_cc_4.pdf,9 de septiembre de 2021
1,MAESTRO/A PRIMARIA ESPECIALIDAD INGLÉS,COMPLETA,CHAMBERÍ,091221_vacantes_cc_1.pdf,9 de diciembre de 2021
1,LICENCIADO/A-GRADUADO/A FILOLOGÍA HISPÁNICA,COMPLETA,CHAMBERÍ,100121_vacantes_cc_2.pdf,10 de enero de 2022
1,GRADO EN EDUCACIÓN PRIMARIA (INGLÉS),PARCIAL,NTRA.SRA. DEL BUEN CONSEJO-LA LAGUNA,100122_vacantes_cc_3.pdf,10 de enero de 2022
1,GRADO EN EDUCACIÓN INFANTIL (INGLÉS),PARCIAL,NTRA.SRA. DEL BUEN CONSEJO-LA LAGUNA,100122_vacantes_cc_3.pdf,10 de enero de 2022
1,LICENCIATURA O GRADO CIENCIAS SOCIALES,PARCIAL,ECHEYDE II,100322_vacantes_cc_1.pdf,10 de marzo de 2022
1,PEDAGOGÍA TERAPÉUTICA,PARCIAL,HISPANO,100921_vacantes_cc_1.pdf,10 de septiembre de 2021
1,DIPLOMADO/A MAGISTERIO  EDUCACIÓN PRIMARIA,COMPLETA,LOS ÁNGELES,100921_vacantes_cc_2.pdf,10 de septiembre de 2021
1,MAESTRO/A-GRADUADO/A PRIMARIA ESP.LENGUA EXTRANJERA INGLÉS C1/DECA,COMPLETA,SAN JUAN BOSCO,100921_vacantes_cc_3.pdf,10 de septiembre de 2021
1,MAESTRO/A MENCIÓN PEDAGOGÍA TERAPÉUTICA,COMPLETA,DECROLY,100921_vacantes_cc_4.pdf,10 de septiembre de 2021
1,LCDO/A TRADUCTORES E INTÉRPRETES - ESP ALEMÁN - MÁSTER,PARCIAL,MARPE ALTAVISTA,101121_vacantes_cc_1.pdf,10 de noviembre de 2021
1,LICENCIADO/A GRADO FILOLOGÍA FRANCESA,COMPLETA,MAINLOP,101221_vacantes_cc_1.pdf,10 de diciembre de 2021
1,LICDO./A  CIENCIAS FÍSICAS(IMPARTIR MATEMÁTICAS)INGLÉSB2,PARCIAL,SAN ISIDRO-SALESIANOS,110222_vacantes_cc_1.pdf,11 de febrero de 2022
1,MAESTRO/A ED. PRIMARIA ESPECIALIDAD ED. FÍSICA,COMPLETA,RODRÍGUEZ CAMPOS,110322_vacantes_cc_2.pdf,11 de marzo de 2022
1,PROFESOR /A DE FRANCÉS PARA SECUNDARIA,PARCIAL,CERVANTES,110322_vacantes_cc.pdf,11 de marzo de 2022
1,MAESTRO/A EDUCACIÓN ESPECIAL,COMPLETA,ESCUELITA DE ILUSIONES,110522_vacantes_cc_1.pdf,11 de mayo de 2022
1,PROFESORA DE ALEMÁN PARA EDUCACIÓN SECUNDARIA,COMPLETA,CPEIPS SANTA MARÍA DE LOS VOLCANES,110722_vacantes_cc_1.pdf,11 de julio de 2022
3,MAESTRO DE EDUCACIÓN PRIMARIA,COMPLETA,CPEIPS SANTA MARÍA DE LOS VOLCANES,110722_vacantes_cc_1.pdf,11 de julio de 2022
1,GRADO EDUCACIÓN FÍSICA - SECUNDARIA- INGLÉS B2 O C1 - MÁ,PARCIAL,NUESTRA SEÑORA DE LAS NIEVES,111021_vacantes_cc_1.pdf,11 de octubre de 2021
1,MAESTRO/A ED. PRIMARIA -INGLÉS,PARCIAL,ECHEYDE II,111021_vacantes_cc_3.pdf,11 de octubre de 2021
1,MÚSICA PARA ESO - MÁSTER PROFESORADO,PARCIAL,SAGRADO CORAZÓN - PTO ROSARIO,111021_vacantes_cc_4.pdf,11 de octubre de 2021
1,LICENCIATURA/GRADO EN ED. FÍSICA PARA SECUNDARIA,PARCIAL,ECHEYDE II,111021_vacantes_cc-5.pdf,11 de octubre de 2021
1,MAESTRO EDUCACIÓN INFANTIL,COMPLETA,CPEIPS SANTA MARÍA DE LOS VOLCANES,120122_vacantes_cc_1.pdf,12 de enero de 2022
1,GRADUADO/A EN QUÍMICAS,COMPLETA,DOMINICAS VISTABELLA,120122_vacantes_cc_2.pdf,12 de enero de 2022
